project_id,peer_count,peer_median_cost,peer_iqr_cost,cost_deviation_pct,cost_zscore,cost_iqr_flag,cost_anomaly_flag,cost_anomaly_score,cost_anomaly_reason,cost_anomaly_available
WS/MP18228/2024-2025/148203,3036.0,222921.0,210923.0,-0.8126870057105432,-0.14671627167150703,0.0,0.0,-0.00567450739578701,,True
WS/MP18228/2024-2025/148204,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148205,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148206,3036.0,222921.0,210923.0,-0.8126870057105432,-0.14671627167150703,0.0,0.0,-0.00567450739578701,,True
WS/MP18228/2024-2025/148207,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148208,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148209,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148210,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP18228/2024-2025/148211,3036.0,222921.0,210923.0,-0.9063390169611656,-0.16362348666163234,0.0,0.0,-0.005105519522117685,,True
WS/MP600/2024-2025/148212,62.0,178135.5,94368.0,0.1227408349262219,0.3090716097401947,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148213,62.0,178135.5,94368.0,0.1227408349262219,0.3090716097401947,0.0,0.0,-0.014428372932898892,,True
WS/MP600/2024-2025/148214,62.0,178135.5,94368.0,-0.2906579541977876,-0.7319008530592144,0.0,0.0,-0.013889207581139151,,True
WS/MP600/2024-2025/148216,62.0,178135.5,94368.0,0.6208279652287163,1.5632963446949504,0.0,0.0,-0.014412176193160486,,True
