"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2192","Normal/Others","WS/MP18253/2024-2025/139736-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM KHELARAMPUR DOCTOR POLE TO ASHRAM MORE","07-Sep-2024","500000","19-Nov-2024"
"2193","Normal/Others","WS/MP18253/2024-2025/139737-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM SERPUR TOLE 10 BIGHAR MORE TO KAJLA PARA","07-Sep-2024","500000","19-Nov-2024"
"2194","Normal/Others","WS/MP18253/2024-2025/139738-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD WITH PAILING FROM IDGAH MATH  TO SARBERIYA KORANIYA MADRASHA","07-Sep-2024","300000","19-Nov-2024"
"2195","Normal/Others","WS/MP18253/2024-2025/139739-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM ASHROM TO SUBHRA MONDALPUKURPAR","07-Sep-2024","400000","19-Nov-2024"
"2196","Normal/Others","WS/MP18253/2024-2025/139740-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM PADUMA SARAFAT HALDER SHOP  TO ID GAH MATH","07-Sep-2024","600000","19-Nov-2024"
"2197","Normal/Others","WS/MP18253/2024-2025/139741-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","BAPI HALDAR","MATHURAPUR(SC)","CONSTRUCTION OF CC ROAD FROM UJILBERIYA ASIT BAR HOUSE TO KATH POLE","07-Sep-2024","600000","19-Nov-2024"
"2198","Normal/Others","WS/MP18176/2024-2025/139742-Construction of buildings for crèches and anganwadies","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","CONSTRUCTION OF KARIYAMPATTY MUTHU NAGAR ANGANWADI BUILDING","09-Sep-2024","1655000","16-Sep-2024"
"2199","Normal/Others","WS/MP334/2024-2025/139743-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near bandh basti kali mandir in bandh","09-Sep-2024","22000","08-Oct-2024"
"2200","Normal/Others","WS/MP334/2024-2025/139744-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near durga mandap tenughat 2 number in sahrachiya","09-Sep-2024","22000","08-Oct-2024"
"2201","Normal/Others","WS/MP334/2024-2025/139745-Street lights","Jharkhand","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","installation of solar street light near durga mandap bangali tola in saram west","09-Sep-2024","22000","08-Oct-2024"
