"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"241","Normal/Others","WS/MP18065/2025-2026/134736-Construction of buildings for multi-gym","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Const. of Kabaddi Hall near Shiv Mandir","05-Aug-2024","1000000","01-Sep-2025"
"242","Normal/Others","WS/MP18065/2024-2025/134737-Setting up public non-conventional energy plants","Haryana","REWARI(District Commissioner Rewari)","DEEPENDER SINGH HOODA","ROHTAK","Installation of Solar System at Jat Dharamshala","05-Aug-2024","800000","18-Oct-2024"
"243","Normal/Others","NA-Construction of community centers and community halls","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","Development of Works in Vishwakarma Panchal Dharamshala, Bhiwani Road, Rohtak","05-Aug-2024","1100000","NA"
"244","Normal/Others","WS/MP18065/2024-2025/134739-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Comp. of Jogi wali Choupal","05-Aug-2024","500000","09-Dec-2024"
"245","Normal/Others","WS/MP18065/2025-2026/134740-Construction of community centers and community halls","Haryana","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","Const. of Hall near Gorakh Nath Mandir on Panchayat land","05-Aug-2024","1100000","04-Aug-2025"
"246","Normal/Others","WS/MP18065/2024-2025/134741-Construction of boundary walls of existing public and community buildings","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Construction of Boundary wall of Nirwala Johar in Majra - B, Block Beri (Jjr) (9306774530)","05-Aug-2024","500000","05-Nov-2024"
"247","Normal/Others","WS/MP18065/2024-2025/134742-Construction of community centers and community halls","Haryana","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","Const. of Hall in Guru Ravi Das Dharamshala near Ambedkar Chowk","05-Aug-2024","1100000","04-Mar-2025"
"248","Normal/Others","WS/MP485/2024-2025/134780-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near  Kishori Mohanpur State Plan F.P School More, Plot No - 1979, Khatiyan No - 1870, JL.NO - 51, Mouza - Kishori Mohanpur","06-Aug-2024","227446","09-Dec-2024"
"249","Normal/Others","WS/MP485/2024-2025/134781-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Nagenabad Muslim Para Jetty Ghat, Plot No - 342, Khatiyan No - 3051, JL No - 47, Mouza - Baikunthapur","06-Aug-2024","227446","09-Dec-2024"
"250","Normal/Others","WS/MP485/2024-2025/134782-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near  Purba Gurguria Nuraniya Masjid,Plot No - 1126/1133, Khatiyan No - 2890,JL No - 163/43,Mouza - Purba Gurguriya","06-Aug-2024","227446","09-Dec-2024"
"251","Normal/Others","WS/MP485/2024-2025/134783-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Purba Debipur Sanir More, Plot No - 2730, Khatiyan No - 1, JL No - 163/45, Mouza - Debipur","06-Aug-2024","227446","09-Dec-2024"
"252","Normal/Others","WS/MP485/2024-2025/134784-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Deulbari Jarjer Hat Bazar, Plot No - 1153, Khatiyan No - 2, JL No - 40, Mouza - Deulbari","06-Aug-2024","227446","09-Dec-2024"
"253","Normal/Others","WS/MP485/2024-2025/134785-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Kantamari Madhabpur Sekh Para Jame Masjid, Plot No - 1482, Khatiyan No - 533, JL No - 28, Mouza - Madhabpur","06-Aug-2024","227469","09-Dec-2024"
"254","Normal/Others","WS/MP485/2024-2025/134786-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Sankijahan Coloni Bazar, Plot No - 745, Khatiyan No - 19, JL No - 156/27, Mouza - Sankijahan","06-Aug-2024","227469","09-Dec-2024"
"255","Normal/Others","WS/MP485/2024-2025/134787-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Hajir Hat More, Plot No - 1223, Khatiyan No - 120, JL NO - 153/26, Mouza - Gopalgunj","06-Aug-2024","227469","09-Dec-2024"
"256","Normal/Others","WS/MP485/2024-2025/134788-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Bamunerchak Dharmaraj Mandir, Plot No -8549,Khatiyan No -1270, JL No -136/20, Mouza - Jalaberia","06-Aug-2024","227469","09-Dec-2024"
"257","Normal/Others","WS/MP485/2024-2025/134789-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Tapan Halder House, Plot No -5190, Khatiyan No -1320, JL No -136/20, Mouza -Jalaberia","06-Aug-2024","227469","09-Dec-2024"
"258","Normal/Others","WS/MP485/2024-2025/134790-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Kaorakhali Hedayetul Islam Jame Masjid, Plot No -6761, Khatiyan No -6781, JL No -21, Mouza - Kaorakhali","06-Aug-2024","227469","09-Dec-2024"
"259","Normal/Others","WS/MP485/2024-2025/134791-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Paschim Jamtala Nimtala Mandir, Plot No - 50, Khatiyan No -2400, JL No -23, Mouza - Jamtala","06-Aug-2024","227469","09-Dec-2024"
"260","Normal/Others","WS/MP485/2024-2025/134792-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Kirtankhola Firuja Gazir More, Plot No -83, Khatiyan No -164/2, JL No- 131, Mouza - Kirtankhola","06-Aug-2024","227469","09-Dec-2024"
"261","Normal/Others","WS/MP485/2024-2025/134793-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Ambikanagar Kali Mandir, Plot No - 200, Khatiyan No -24, JL No -15, Mouza - Ambikanagar","06-Aug-2024","227469","09-Dec-2024"
"262","Normal/Others","WS/MP681/2024-2025/134797-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Simangaon Tal. Sailu Dist. Parbhani","06-Aug-2024","997623","09-Sep-2024"
"263","Normal/Others","WS/MP681/2024-2025/134798-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Kawaddhan Tal. Sailu Dist. Parbhani (under SC fund)","06-Aug-2024","998788","03-Oct-2024"
"264","Normal/Others","WS/MP681/2024-2025/134799-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Mhalsapur Tal. Sailu Dist. Parbhani","06-Aug-2024","999356","27-Sep-2024"
"265","Normal/Others","WS/MP681/2024-2025/134800-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Nirwadi Khurd Tal. Sailu Dist. Parbhani","06-Aug-2024","999753","27-Sep-2024"
"266","Normal/Others","WS/MP681/2024-2025/134801-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at at Chicholi Kale Tal.Jintur Dist. Parbhani","06-Aug-2024","999978","11-Oct-2024"
"267","Normal/Others","WS/MP681/2024-2025/134802-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Wassa Tal. Jintur Dist. Parbhani (under SC fund)","06-Aug-2024","1493920","27-Sep-2024"
"268","Normal/Others","WS/MP681/2024-2025/134803-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Itoli  Tal. Jintur Dist. Parbhani (under SC fund)","06-Aug-2024","999904","27-Sep-2024"
"269","Normal/Others","WS/MP681/2024-2025/134804-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Sakhartala Tal. Jintur  Dist. Parbhani (under ST fund)","06-Aug-2024","999896","03-Oct-2024"
"270","Normal/Others","WS/MP681/2024-2025/134805-Construction of community centers and community halls","Maharashtra","PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA)","Sanjay Haribhau Jadhav","PARBHANI","Construction of Sabhamandap at Ayasha Colony, Sailu  Tal. Sailu Dist. Parbhani","06-Aug-2024","999711","09-Oct-2024"
"271","Normal/Others","WS/MP485/2024-2025/134826-Installing community drinking water plants","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Water Supply System With Submersible Pump and Overhead Tank Near Rafikul Laskar House, Plot No - 77, Khatiyan No - 5467, JL No - 07, Mouza -Benimadhabpur","06-Aug-2024","312408","09-Dec-2024"
"272","Normal/Others","WS/MP485/2024-2025/134827-Installing community drinking water plants","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Construction of Water Supply System With Submersible Pump and Overhead Tank Near Gofur Sekh House, Plot No - 3270, Khatiyan No - 1, JL No - 06, Mouza - Merigunj","06-Aug-2024","310393","09-Dec-2024"
"273","Normal/Others","WS/MP485/2024-2025/134828-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near 8 No Jame Masjid, Plot No -937, Khatiyan No - 1411, JL No - 20,Mouza -Purba Tentulberia","06-Aug-2024","227469","09-Dec-2024"
"274","Normal/Others","WS/MP485/2024-2025/134829-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Purba Shyamnagar More, Plot No - 412, Khatiyan No - 20, JL No - 18, Mouza - Purba Shyamnagar","06-Aug-2024","227446","09-Dec-2024"
"275","Normal/Others","WS/MP485/2024-2025/134837-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near Garibari 4 No Masjid, Plot No -11, Khatiyan No -19, JL No -145, Mouza - Nalgora","06-Aug-2024","249621","19-Mar-2025"
"276","Normal/Others","WS/MP485/2024-2025/134838-Street lights","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Pratima Mondal","JOYNAGAR(SC)","Installation of Solar High Mast Light Near 7 No Sonatikari Narayani Club, Plot No - 42, Khatiyan No -1179, JL No -146, Mouza - Sonatikari","06-Aug-2024","249625","19-Mar-2025"
"277","Normal/Others","WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","SHAHJAHANPUR(SC)","15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List","07-Aug-2024","9900000","28-Aug-2024"
"278","Normal/Others","WS/MP492/2024-2025/134984-Lighting of public spaces","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Arun Kumar Sagar","SHAHJAHANPUR(SC)","Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List","07-Aug-2024","37908000","28-Aug-2024"
"279","Normal/Others","WS/MP18271/2025-2026/135003-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Adabari Manchhur Ali High School of Kisamat Adabari Mouza under Adabari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"280","Normal/Others","WS/MP18271/2025-2026/135004-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Balarampur High School of Balarampur Mouza under Balarampur-I Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"281","Normal/Others","WS/MP18271/2025-2026/135005-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Chilakhana High School of Chilakhana Mouza under Chilakhana-I Gram Panchayat of District Coochbehar","17-Feb-2025","586716","27-Aug-2025"
"282","Normal/Others","WS/MP18271/2025-2026/135006-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Natabari High School of Natabari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"283","Normal/Others","WS/MP18271/2025-2026/135007-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Panishala High School of Panishala Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"284","Normal/Others","WS/MP18271/2025-2026/135008-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Gopalpur High School of Gopalpur Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"285","Normal/Others","WS/MP18271/2025-2026/135009-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Baneswar Khabsa High School of Baneswar Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"286","Normal/Others","WS/MP18271/2025-2026/135010-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Manindra Nath  High School of Khagrabari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"287","Normal/Others","WS/MP18271/2025-2026/135011-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Khapaidanga Joykanta  High School of Khapaidanga Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"288","Normal/Others","WS/MP18271/2025-2026/135012-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Dewanhat High School of Dewanhat Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"289","Normal/Others","WS/MP345/2024-2025/135013-Construction of buildings for community cultural activities","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","Construction of Building for Kadamancode ST Gothra Kalalaya Samskarika Granthasala, Kadamancodu ward 12 in Kulathupuzha GP in Punalur Constituency","08-Aug-2024","2500000","13-Mar-2025"
"290","Normal/Others","WS/MP345/2024-2025/135014-Construction of public libraries and reading rooms","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","Construction of Reading room High Range Arts and Sports Club Kulathupuzha GP in Anchal BP","08-Aug-2024","1000000","13-Mar-2025"
"291","Normal/Others","WS/MP345/2024-2025/135018-Construction of community centers and community halls","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","Construction of Auditorium for Cherukara Scheduled Tribe Settlement Colony in Kulathupuzha GP in Punalur Constituency (ST)","08-Aug-2024","3000000","13-Mar-2025"
"292","Normal/Others","WS/MP345/2024-2025/135019-Construction of buildings for crèches and anganwadies","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","Construction of Anganwadi at Peruvazhikala ST Colony in Ward No. 6 in Kulathupuzha GP in Punalur Constituency (ST)","08-Aug-2024","2479478.34","13-Mar-2025"
"293","Normal/Others","WS/MP345/2024-2025/135021-Construction of bus-sheds or bus-stops","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","Construction of Bus waiting shed at Kadamancode ward No. 12 in Kulathupuzha GP in Punalur Constituency (ST)","08-Aug-2024","500000","13-Mar-2025"
"294","Normal/Others","WS/MP18271/2025-2026/135160-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Patlakhawa High School of Patlakhawa Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"295","Normal/Others","WS/MP18271/2025-2026/135163-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Pran Nath High School of Chandamari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"296","Normal/Others","WS/MP18271/2025-2026/135164-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Suktabari State High Madrasah of Suktabari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"297","Normal/Others","WS/MP18271/2025-2026/135165-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Suktabari Markaz of Suktabari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"298","Normal/Others","WS/MP18271/2025-2026/135166-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Ghughumari High School of Ghughumari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"299","Normal/Others","WS/MP18278/2024-2025/135168-Street lights","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Highmast solar Street light- Two piece","11-Aug-2024","993000","25-Sep-2024"
"300","Normal/Others","WS/MP18278/2024-2025/135169-Street lights","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Highmast  Solar Street light- Two Piece","11-Aug-2024","993000","25-Sep-2024"
"301","Normal/Others","WS/MP18278/2024-2025/135170-Street lights","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Highmast Solar Street light- Two Piece.","11-Aug-2024","993000","25-Sep-2024"
"302","Normal/Others","WS/MP18271/2025-2026/135171-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Nayarhat  High School of Gobra Chhara Nayarhat Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"303","Normal/Others","WS/MP18271/2025-2026/135172-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Sukarurkuthi High School of Sukarur kuthi Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"304","Normal/Others","WS/MP18271/2025-2026/135173-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Sahebganj High School of Sahebganj Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","27-Aug-2025"
"305","Normal/Others","WS/MP18271/2025-2026/135174-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Chamta Adarsha High School of Chamta Gram Panchayatunder Sitai block of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"306","Normal/Others","WS/MP18271/2025-2026/135175-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at Sitai High School of -Sitai-I Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"307","Normal/Others","WS/MP18271/2025-2026/135176-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at  Gasanimari High School of Gosanimari Gram Panchayat of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"308","Normal/Others","WS/MP18271/2025-2026/135177-Lighting of public spaces","West Bengal","Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA)","JAGADISH CHANDRA BARMA BASUNIA","COOCHBEHAR(SC)","Installation for the single unit Mini High Mast Solar Lightening system with 4x200 WP SPV Module, Four nos 60W Semi Integrated Street light with 60Ah Li-ion cell at  Baromaricha Delwar Hossain High School of Lalbazar Gram Panchayat under Sitalkuchi Block of District Coochbehar.","17-Feb-2025","586716","11-Sep-2025"
"309","Normal/Others","WS/MP858/2024-2025/135178-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA)","Asit Kumar Mal","BOLPUR(SC)","Construction of cc road from sanasai das bairagya house to Santiram ghose house at paligram gp ,Executing Agency  will be EO Mongalkote Panchyaet Samity.","08-Aug-2024","508980","22-Nov-2024"
