"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2067","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264660","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2068","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264691","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2069","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264685","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2070","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264670","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2071","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264671","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2072","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264856","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2073","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264669","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2074","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/264984","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2075","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264979","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2076","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264701","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2077","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264854","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2078","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264855","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2079","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264703","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2080","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264694","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2081","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264689","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2082","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264662","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2083","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264693","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2084","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264873","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2085","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264702","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2086","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/264982","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2087","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/264983","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2088","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264846","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2089","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264913","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2090","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264926","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2091","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264661","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2092","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264687","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2093","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264919","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2094","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264908","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2095","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264918","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2096","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264715","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2097","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264850","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2098","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264912","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2099","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264639","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2100","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264696","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2101","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264909","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2102","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264779","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2103","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2024-2025/155623","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","28-Jul-2026","VLWC President Thimmasamudram","Payment In-Progress","486736"
"2104","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2024-2025/151573","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","28-Jul-2026","VLWC President Thimmasamudram","Payment In-Progress","495008"
"2105","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/217996","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","31-Aug-2026","SOWMYA EATHAMUKKALA","Payment In-Progress","249494"
"2106","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","KISHAN LAL","Payment In-Progress","15561"
"2107","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","NAVALKISHOR","Payment In-Progress","3861"
"2108","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","SARAJUDHIN","Payment In-Progress","3861"
"2109","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","ROHIT","Payment In-Progress","15561"
"2110","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","KARAN","Payment In-Progress","3861"
"2111","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241239","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","07-Aug-2026","TYAGI CONSTRUTION AND ORDER SUPPLIERS","Payment In-Progress","230926"
"2112","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241011","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","S R CONSTRUCTION","Payment In-Progress","798152"
"2113","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2026-2027/267766","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","20-Aug-2026","MI CONSTRUCTION","Payment In-Progress","675635"
"2114","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241240","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","14-Aug-2026","MAIHER SHAKTI ENTERPRISES","Payment In-Progress","950372"
"2115","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241233","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","17-Aug-2026","MAIHER SHAKTI ENTERPRISES","Payment In-Progress","448400"
"2116","Tamil Nadu","Construction of additional rooms and halls in the existing public and community building","WS/MP18176/2025-2026/199095","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","18-Aug-2026","ANBARASU","Payment In-Progress","1300000"
"2117","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18344/2025-2026/187259","PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","02-Sep-2026","JAMBU GRAM PANCHAYAT","Payment In-Progress","250000"
"2118","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241136","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","11-Aug-2026","UJJAWAL ENTERPRISES","Payment In-Progress","327450"
"2119","Chhattisgarh","Construction of community centers and community halls","WS/MP18049/2026-2027/273879","BILASPUR(DISTRICT COLLECTOR BILASPUR_IDA)","TOKHAN SAHU","BILASPUR","28-Jul-2026","Gram Panchayat Khaira La","Payment In-Progress","1000000"
"2120","West Bengal","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP18254/2026-2027/208657","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","JUNE MALIAH","MEDINIPUR","13-Aug-2026","ASIR BARAN ROY","Payment In-Progress","1615346"
"2121","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18117/2025-2026/170768","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","BACHHAV SHOBHA DINESH","DHULE","01-Sep-2026","ADITYA PRAKASH PATIL","Payment In-Progress","996000"
"2122","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18103/2026-2027/286935","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","01-Sep-2026","Gram Panchayat Jujhai","Payment In-Progress","250000"
"2123","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18103/2026-2027/288867","SHIVPURI(District Collector Shivpuri_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","03-Sep-2026","Gram Panchayat Ganiyar","Payment In-Progress","250000"
"2124","Gujarat","Construction of common work sheds/ common covered sitting area","WS/	 MP005/2026-2027/234491","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","01-Sep-2026","Taluka Development Officer Mahudha MPLADS","Payment In-Progress","200000"
"2125","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP005/2025-2026/235888","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Devusinh Jesingbhai Chauhan","KHEDA","01-Sep-2026","Taluka Development Officer Mahudha MPLADS","Payment In-Progress","250000"
"2126","Haryana","Construction of public irrigation facilities","WS/MP18066/2026-2027/273368","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","03-Sep-2026","The Harshit Cooperative L and C Society","Payment In-Progress","161189"
"2127","Rajasthan","Providing supply pipelines for drinking water","WS/MP18170/2025-2026/197325","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","10-Aug-2026","NEHRA ELECTRICALS AND CONSTRUCTION COMPNAY","Payment In-Progress","42242"
"2128","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272255","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","BARKAT AND SONS","Payment In-Progress","78000"
"2129","Karnataka","Construction of community centers and community halls","WS/MP623/2026-2027/247138","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","27-Aug-2026","RAVI  S KATNALLI","Payment In-Progress","122004"
"2130","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18136/2026-2027/195290","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","AMAR SHARADRAO KALE","WARDHA","04-Sep-2026","President pulgaon MKSSS Ltd Pulgaon","Payment In-Progress","1000000"
"2131","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18225/2025-2026/257603","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","27-Jul-2026","R D MAURYA","Payment In-Progress","844098"
"2132","Rajasthan","Purchase of sports equipment","WS/MP18313/2025-2026/267623","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","RAJ KUMAR ROAT","BANSWARA(ST)","02-Sep-2026","AARADHYA ENTERPRISES","Payment In-Progress","212000"
"2133","Andhra Pradesh","Installing community drinking water plants","WS/MP529/2025-2026/216077","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","07-Aug-2026","VINS Infra Projects","Payment In-Progress","714250"
"2134","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/240971","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","12-Aug-2026","BHAGAWATI ENTERPRISES","Payment In-Progress","512474"
"2135","Karnataka","Construction of buildings for community cultural activities","WS/MP18079/2025-2026/182394","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","SAGAR ESHWAR KHANDRE","BIDAR","06-Aug-2026","PRAKASH","Payment In-Progress","1875000"
"2136","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18170/2025-2026/240396","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","14-Aug-2026","BHABHA SHREE INFRATECH","Payment In-Progress","305937"
"2137","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18222/2025-2026/246754","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","05-Aug-2026","PREDEEP KUMAR","Payment In-Progress","724103"
"2138","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18174/2026-2027/270411","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","GANAPATHY RAJKUMAR P","COIMBATORE","24-Aug-2026","M Vivekanandhan","Payment In-Progress","599972"
"2139","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP578/2026-2027/262529","BHARUCH(DISTRICT COLLECTOR BROACH_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","25-Aug-2026","LIMAJ GRAM PANCHAYAT","Payment In-Progress","348538"
"2140","Karnataka","Lighting of public spaces","WS/MP18082/2026-2027/213887","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","01-Sep-2026","KIRAN GOWDA R","Payment In-Progress","243406"
"2141","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/264630","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","04-Aug-2026","CHHOTU LAL MEENA","Payment In-Progress","359000"
"2142","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241157","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","07-Aug-2026","RAGHAV CONSTRUCTION","Payment In-Progress","697616"
"2143","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243411","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","17017"
"2144","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243429","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","61353"
"2145","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243385","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","45627"
"2146","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/243432","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","05-Sep-2026","Minour Irrigation","Payment In-Progress","50088"
"2147","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","SAMPAT NATH","Payment In-Progress","3408"
"2148","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","JAMNA","Payment In-Progress","3408"
"2149","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","MAHENDRA SINGH","Payment In-Progress","3408"
"2150","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","BINTU NATH","Payment In-Progress","3408"
"2151","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","FATMA","Payment In-Progress","3408"
"2152","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","BAHADUR SINGH","Payment In-Progress","3408"
"2153","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/241441","BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","LALI KANWER","Payment In-Progress","3408"
"2154","Telangana","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18194/2026-2027/236887","SANGAREDDY(District Collector Sangareddy_IDA)","SURESH KUMAR SHETKAR","ZAHIRABAD","03-Sep-2026","SHREE DURGA PARAMESHWARI MOTORS PVT LTD","Payment In-Progress","110000"
"2155","Rajasthan","Construction of community centers and community halls","WS/MP719/2026-2027/187644","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","31-Aug-2026","Rishabh Enterprises","Payment In-Progress","476624"
"2156","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/228064","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","02-Sep-2026","Major Singh","Payment In-Progress","35035"
"2157","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","MOHHMAD RIYAJUDHAN","Payment In-Progress","12294"
"2158","Karnataka","Installing community drinking water plants","WS/	 MP620/2025-2026/167962","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Pralhad Venkatesh Joshi","DHARWAD","05-Aug-2026","KRISHNA TALWAR","Payment In-Progress","417642"
"2159","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Surendra Kumar Sharma","Payment In-Progress","11900"
"2160","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Ashok Kumar","Payment In-Progress","11050"
"2161","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Birbal","Payment In-Progress","3724"
"2162","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Rajesh Kumar","Payment In-Progress","3724"
"2163","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Lakshmi","Payment In-Progress","11050"
"2164","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","chetaram","Payment In-Progress","11900"
"2165","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Kunda ram","Payment In-Progress","11900"
"2166","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Pooja devi","Payment In-Progress","3724"
"2167","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Mukesh Kumar","Payment In-Progress","3458"
"2168","Rajasthan","Development of playfields and sports grounds","WS/MP18170/2025-2026/218459","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","05-Aug-2026","Subhash","Payment In-Progress","11050"
"2169","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2026-2027/275246","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","25-Aug-2026","Raghbir Singh","Payment In-Progress","74520"
"2170","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272258","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","31-Aug-2026","Lamba Cement and Iron Store Ghanauli","Payment In-Progress","17850"
"2171","Karnataka","Lighting of public spaces","WS/MP18092/2025-2026/246909","RAICHUR(DEPUTY COMMISSIONER RAICHUR_IDA)","G. KUMAR NAIK","RAICHUR(ST)","17-Aug-2026","GOVINDA NAYAK","Payment In-Progress","375000"
