"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"17723","West Bengal","Purchase of non-conventional energy system and devices for community use","WS/MP481/2025-2026/155306","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Khalilur Rahaman","JANGIPUR","30-Dec-2025","Mahima Enterprise","Payment Success","557500"
"17724","Chhattisgarh","Construction of community centers and community halls","WS/MP18048/2025-2026/209918","SUKMA(Collector Sukma_IDA)","MAHESH KASHYAP","BASTAR(ST)","12-Jan-2026","gram panchayat Kikirpal","Payment Success","300000"
"17725","Punjab","Construction of toilet blocks","WS/MP18158/2025-2026/191126","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","14-Jan-2026","KHAIRA CEMENT STORE","Payment Success","8566"
"17726","Punjab","Construction of toilet blocks","WS/MP18158/2025-2026/191126","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","14-Jan-2026","HARMAN SINGH","Payment Success","2965"
"17727","Rajasthan","Street lights","WS/MP18163/2025-2026/246977","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","29-Dec-2025","AEN O M JVVNL NAGAL RAJAWATAN","Payment Success","43857"
"17728","Rajasthan","Street lights","WS/MP18163/2025-2026/246977","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","29-Dec-2025","AEN O M JVVNL NAGAL RAJAWATAN","Payment Success","33300"
"17729","Rajasthan","Street lights","WS/MP18163/2025-2026/246977","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","29-Dec-2025","AEN O M JVVNL NAGAL RAJAWATAN","Payment Success","33300"
"17730","Punjab","Construction of toilet blocks","WS/MP18158/2025-2026/191126","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","14-Jan-2026","MEHAKDEEP SINGH","Payment Success","13600"
"17731","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP323/2025-2026/200231","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","13-Jan-2026","GRAM PANCHAYAT NANA MOTA AVATADIYA","Payment Success","294683"
"17732","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/245575","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","12-Feb-2026","Basha Builders","Payment Success","54301"
"17733","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/243422","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","02-Jan-2026","Basha Builders","Payment Success","103171"
"17734","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/243422","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","02-Jan-2026","Basha Builders","Payment Success","80920"
"17735","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/243422","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","02-Jan-2026","Basha Builders","Payment Success","59553"
"17736","Punjab","Providing drains and gutters for public drainage","WS/MP18155/2025-2026/243422","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","02-Jan-2026","Basha Builders","Payment Success","37780"
"17737","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/208021","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","30-Jan-2026","KUKATI KAILASAM","Payment Success","485616"
"17738","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP529/2025-2026/208020","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","Maddila Gurumoorthy","TIRUPATI(SC)","22-Jan-2026","KUKATI KAILASAM","Payment Success","495000"
