project_id,isolation_forest_flag,anomaly_score,anomaly_reason,zscore_flag,iqr_flag,similarity_score,duplicate_flag,ml_risk_score,ml_risk_level
WS/MP18225/2025-2026/150551,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150554,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150555,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150558,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150561,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18277/2025-2026/150717,0,0.2309996421676354,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18335/2025-2026/150744,0,0.1039340098672055,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18335/2025-2026/150782,0,0.2038245366139752,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18335/2025-2026/150784,0,0.1460086034824796,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP251/2025-2026/150786,0,0.2014218611305333,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150818,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150832,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150834,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150835,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150836,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/150837,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18248/2024-2025/150921,0,0.2187733355314454,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18248/2024-2025/150922,0,0.1101242627166531,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/151079,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/151082,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18225/2025-2026/151098,0,0.2521277451075271,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2025-2026/151103,0,0.2145142069206226,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2025-2026/151106,0,0.2227239005272797,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2025-2026/151157,0,0.2035296034335532,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2024-2025/151159,0,0.2386805777931837,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18181/2025-2026/151263,0,0.2166042383990765,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18181/2025-2026/151264,0,0.2166042383990765,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18181/2026-2027/151265,0,0.130575481246585,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151392,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151393,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151394,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151395,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151396,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151397,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151398,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151399,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151400,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151402,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151404,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151406,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151408,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151414,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151420,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151422,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151424,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18227/2025-2026/151425,0,0.2021472098217861,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP719/2025-2026/151460,0,0.1393027455805656,Detected by Isolation Forest pattern analysis,0,1,0.0,0,20,Medium
WS/MP18324/2024-2025/151485,0,0.2279811756572697,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2025-2026/151490,0,0.2250423132891063,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18324/2025-2026/151491,0,0.2313696159543115,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP755/2024-2025/151521,0,0.2386805777931837,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP598/2025-2026/151540,0,0.1323748511497927,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP598/2025-2026/151541,0,0.1186554775296164,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP598/2025-2026/151547,0,0.2185557613197506,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP598/2024-2025/151550,0,0.2133990944694404,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP598/2024-2025/151552,0,0.1597807935468875,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP524/2024-2025/151573,0,0.1994705489437273,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP640/2026-2027/151609,1,-0.0251940534443247,Unusually high number of payments,0,0,0.0,0,40,Medium
WS/MP640/2026-2027/151610,1,-0.0279046984532536,Unusually high number of payments,0,0,0.0,0,40,Medium
WS/MP640/2026-2027/151611,1,-0.0033973768639694,Unusually high number of payments,0,0,0.0,0,40,Medium
WS/MP640/2026-2027/151613,1,-0.0467188993905246,Unusually high number of payments,0,0,0.0,0,40,Medium
WS/MP429/2024-2025/151718,0,0.1576038900030339,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18263/2025-2026/151980,0,0.1828198306839081,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18265/2025-2026/152005,0,0.2202574502068243,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18265/2025-2026/152008,0,0.2202574502068243,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18049/2024-2025/152160,0,0.1709151833741994,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18049/2025-2026/152171,0,0.2450147159927769,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18049/2025-2026/152172,0,0.2340373855049902,Detected by Isolation Forest pattern analysis,0,1,0.0,0,20,Medium
WS/MP18049/2025-2026/152174,0,0.2458988664860694,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP18049/2024-2025/152243,0,0.1048267567057091,Detected by Isolation Forest pattern analysis,0,1,0.0,0,20,Medium
WS/MP18065/2026-2027/152353,1,-0.0484506297007898,Detected by Isolation Forest pattern analysis,0,0,0.0,0,40,Medium
WS/MP638/2024-2025/152372,0,0.2092182316010494,Detected by Isolation Forest pattern analysis,0,0,1.0,1,15,Low
WS/MP827/2024-2025/152397,0,0.1601083416187913,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP638/2024-2025/152420,0,0.1691377258122982,Detected by Isolation Forest pattern analysis,0,0,1.0,1,15,Low
WS/MP638/2024-2025/152443,0,0.217059707105544,Detected by Isolation Forest pattern analysis,0,0,1.0,1,15,Low
WS/MP638/2024-2025/152444,0,0.2173232196809759,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
WS/MP638/2024-2025/152450,0,0.2173232196809759,Detected by Isolation Forest pattern analysis,0,0,1.0,1,15,Low
WS/MP526/2026-2027/152486,0,0.1549798825276949,Detected by Isolation Forest pattern analysis,0,0,0.0,0,0,Normal
