project_id,similar_project_id,similarity_score,potential_duplicate_flag
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136024,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136021,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136023,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136024,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136022,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136024,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136023,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136025,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136024,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136025,WS/MP643/2024-2025/136026,1.0,1
WS/MP643/2024-2025/136025,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136025,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136025,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136025,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136025,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136025,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136026,WS/MP643/2024-2025/136027,1.0,1
WS/MP643/2024-2025/136026,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136026,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136026,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136026,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136026,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136027,WS/MP643/2024-2025/136028,1.0,1
WS/MP643/2024-2025/136027,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136027,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136027,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136027,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136028,WS/MP643/2024-2025/136029,1.0,1
WS/MP643/2024-2025/136028,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136028,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136028,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136029,WS/MP643/2024-2025/136030,1.0,1
WS/MP643/2024-2025/136029,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136029,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136030,WS/MP643/2024-2025/136031,1.0,1
WS/MP643/2024-2025/136030,WS/MP643/2024-2025/136032,1.0,1
WS/MP643/2024-2025/136031,WS/MP643/2024-2025/136032,1.0,1
WS/MP584/2024-2025/136561,WS/MP584/2024-2025/136562,0.921,1
WS/MP334/2024-2025/136582,WS/MP334/2024-2025/136591,0.9259,1
WS/MP334/2024-2025/136585,WS/MP334/2024-2025/136589,0.9051,1
WS/MP643/2024-2025/136985,WS/MP643/2024-2025/136986,1.0,1
WS/MP643/2024-2025/136985,WS/MP643/2024-2025/136987,1.0,1
WS/MP643/2024-2025/136985,WS/MP643/2024-2025/136988,1.0,1
WS/MP643/2024-2025/136986,WS/MP643/2024-2025/136987,1.0,1
WS/MP643/2024-2025/136986,WS/MP643/2024-2025/136988,1.0,1
WS/MP643/2024-2025/136987,WS/MP643/2024-2025/136988,1.0,1
