project_id,similar_project_id,state,work_category,similarity_score,potential_duplicate_flag
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137053,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137054,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137055,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137056,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137057,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137058,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137059,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137060,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137061,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137062,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137063,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137064,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137065,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137066,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137067,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137068,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137069,Andhra Pradesh,Normal/Others,1.0,1
WS/MP18007/2025-2026/137051,WS/MP18007/2025-2026/137070,Andhra Pradesh,Normal/Others,1.0,1
